지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
133,대전,2013-01-01,-3.6,-9.4,449,3.3,1319
133,대전,2013-01-02,-8.1,-12.9,2330,-.6,109
133,대전,2013-01-03,-11.2,-16.5,711,-5.2,1520
133,대전,2013-01-04,-10.5,-16.5,750,-4.3,1517
133,대전,2013-01-05,-6.8,-15.3,742,.5,1410
133,대전,2013-01-06,-4.9,-8.5,2340,.6,1500
133,대전,2013-01-07,-5,-10.7,433,1,1440
133,대전,2013-01-08,-4.2,-9.2,715,1.9,1418
133,대전,2013-01-09,-6.3,-9.7,2314,-1.9,1524
133,대전,2013-01-10,-7.9,-13.8,752,-1.5,1533
133,대전,2013-01-11,-5.3,-12.8,805,1.9,1430
133,대전,2013-01-12,0,-5.9,319,6.6,1431
133,대전,2013-01-13,-.8,-3.5,601,2.8,1442
133,대전,2013-01-14,-1.6,-6.6,817,4.4,1456
133,대전,2013-01-15,-2.2,-7.6,815,4,1520
133,대전,2013-01-16,-2.1,-6,412,1.5,1535
133,대전,2013-01-17,-4,-7.5,2359,-1.6,1
133,대전,2013-01-18,-3.9,-10.6,637,2.7,1507
133,대전,2013-01-19,0,-4.5,227,5.9,1319
133,대전,2013-01-20,1.9,-3.7,646,7.4,1507
133,대전,2013-01-21,3.7,2.7,540,4.7,1
133,대전,2013-01-22,3.1,2.2,748,4,1431
133,대전,2013-01-23,2.4,1.1,2357,3.2,1439
133,대전,2013-01-24,.2,-4.1,2355,3.5,1431
133,대전,2013-01-25,-5.1,-7.6,650,-2.1,1502
133,대전,2013-01-26,-6,-10.8,714,-1,1500
133,대전,2013-01-27,-5.1,-9.3,748,-.6,1537
133,대전,2013-01-28,-1.9,-9.5,747,3.8,1400
133,대전,2013-01-29,2.1,-2.8,740,8.3,1520
133,대전,2013-01-30,4.3,-1.9,719,12,1505
133,대전,2013-01-31,6.7,-.9,705,13.8,1443
133,대전,2013-02-01,8.3,6.7,502,11.5,1540
133,대전,2013-02-02,1.4,-4.1,2356,7.3,1
133,대전,2013-02-03,-1.6,-5.1,711,.6,1557
133,대전,2013-02-04,.5,-2.2,2349,4.2,1418
133,대전,2013-02-05,-.1,-3.5,610,2.8,1519
133,대전,2013-02-06,.1,-1.3,2332,1.9,1229
133,대전,2013-02-07,-7.4,-12,2400,-.6,330
133,대전,2013-02-08,-9.4,-14.7,734,-4.2,1443
133,대전,2013-02-09,-6.1,-11.4,720,-.7,1524
133,대전,2013-02-10,-2.8,-7.9,301,1.9,1521
133,대전,2013-02-11,-3.7,-9.5,720,.9,1451
133,대전,2013-02-12,-2.4,-4.7,2348,1.9,1457
133,대전,2013-02-13,-1,-6.1,308,5,1527
133,대전,2013-02-14,1.7,-3.2,730,7.3,1517
133,대전,2013-02-15,.4,-5,2354,5.8,1301
133,대전,2013-02-16,-1.9,-7.8,715,4.2,1605
133,대전,2013-02-17,1.8,-2.3,4,5.4,1507
133,대전,2013-02-18,2.5,-1.3,2251,7.5,1421
133,대전,2013-02-19,-1.2,-4.6,2400,4,1441
133,대전,2013-02-20,-2.7,-9.1,726,3.7,1601
133,대전,2013-02-21,-.3,-4.6,717,5.9,1547
133,대전,2013-02-22,.4,-2.6,102,3.3,1453
133,대전,2013-02-23,-.6,-6.4,712,5.1,1510
133,대전,2013-02-24,1.4,-4.8,729,7.5,1321
133,대전,2013-02-25,2.8,-3.5,738,10,1436
